Internship_ID,Company_Name,,Sector,Area_Field,Internship_Title,Internship_State,Internship_District,Benefits,,Mode,Duration_Months,Stipend_Amount,Required_Skills,Application_Deadline,Company_Description,,,Stipend_Type,Requirement_Contact,Eligibility_Education,Eligibility_Experience,Eligibility_Description,Hiring_Workflow
PMIS-2025-00011,TeleLink Pvt Ltd,,Telecom,Pharma Research,Finance Intern,Chandigarh,Chandigarh,Stipend,,On-site,12,3000,Python; Agriculture Basics; Electrical Maintenance,13-11-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9938304325,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00012,EduMedia Creatives,,"Media, Entertainment & Education",Data Science,Consulting Intern,Karnataka,Mysuru,Stipend,,Hybrid,12,3000,Excel; Writing,13-10-2025,Content and media company focusing on education and entertainment.,,,Paid,-9993477584,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00013,PharmaLife Pvt Ltd,,Pharmaceutical,Cyber Security,Field Intern,Maharashtra,Nagpur,"Transport Allowance, Subsidized Meals",,Hybrid,3,5000,Electrical Maintenance; Research Skills; Excel,16-11-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9167479034,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00014,TravelEase Pvt Ltd,,Travel & Hospitality,Consulting,Maintenance Electrical Intern,Tamil Nadu,Coimbatore,Subsidized Meals,,On-site,3,0,Python; Excel,02-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Unpaid,-9673282451,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00015,Green Energy Corp,,"Oil, Gas & Energy",Finance & Accounting,Content Intern,Gujarat,Surat,"Transport Allowance, Subsidized Meals",,Hybrid,12,10000,Sales Skills; Excel; Data Analysis; Editing,20-11-2025,Innovative company in renewable and sustainable energy.,,,Paid,-9192570919,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00016,FMCG Fresh,,FMCG,Content Creation,Finance Intern,Uttar Pradesh,Varanasi,Remote Work,,On-site,6,10000,Python; Communication,08-11-2025,Fast-moving consumer goods company with global outreach.,,,Paid,-9294649314,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00017,TeleLink Pvt Ltd,,Telecom,Cyber Security,Maintenance Electrical Intern,Uttar Pradesh,Lucknow,Transport Allowance,,Remote,3,0,Data Analysis; Research Skills; Sales Skills; Agriculture Basics,12-11-2025,Telecom services leader in rural and urban connectivity.,,,Unpaid,-9175319023,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00018,ChemEx Pvt Ltd,,Chemical,Renewable Energy R&D,Lab Assistant Intern,Punjab,Ludhiana,"Transport Allowance, Subsidized Meals",,On-site,3,8000,Editing; Data Analysis; Chemistry; Communication,25-10-2025,Chemical manufacturing and research for diverse industries.,,,Paid,-9442353956,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00019,ChemEx Pvt Ltd,,Chemical,Data Science,IT Security Intern,Gujarat,Ahmedabad,"Transport Allowance, Subsidized Meals",,Remote,6,10000,Sales Skills; Editing; Chemistry,11-11-2025,Chemical manufacturing and research for diverse industries.,,,Paid,-9275344465,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00020,TeleLink Pvt Ltd,,Telecom,Renewable Energy R&D,IT Security Intern,Gujarat,Ahmedabad,Subsidized Meals,,On-site,12,8000,Editing; Chemistry; Electrical Maintenance; Networking,20-11-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9284205646,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00021,AeroDefence Systems,,Aviation & Defence,Consulting,Lab Assistant Intern,Chandigarh,Chandigarh,Stipend,,Remote,6,3000,Chemistry; Sales Skills; Communication; Python,01-10-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9454663609,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00022,PharmaLife Pvt Ltd,,Pharmaceutical,Pharma Research,Maintenance Electrical Intern,Chandigarh,Chandigarh,"Transport Allowance, Subsidized Meals",,Remote,12,0,Data Analysis; Networking; Communication,16-10-2025,Research-driven pharmaceutical and life sciences company.,,,Unpaid,-9063726543,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00023,AgroAllied Co,,Agriculture & Allied,Finance & Accounting,Marketing Intern,Uttar Pradesh,Lucknow,Transport Allowance,,Remote,3,0,Python; Sales Skills; Chemistry,08-11-2025,Agro company promoting sustainable farming and crop science.,,,Unpaid,-9358859763,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00024,ChemEx Pvt Ltd,,Chemical,Marketing,Data Analyst Intern,Karnataka,Mysuru,Subsidized Meals,,On-site,3,5000,Excel; Agriculture Basics; Networking; Python,02-10-2025,Chemical manufacturing and research for diverse industries.,,,Paid,-9734823824,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00025,RetailMart Ltd,,Retail & Consumer Durables,Data Science,Research Intern,Chandigarh,Chandigarh,Stipend,,Hybrid,12,10000,Excel; Chemistry,21-10-2025,Retail and consumer durables with nationwide presence.,,,Paid,-9704836355,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00026,AgroAllied Co,,Agriculture & Allied,Finance & Accounting,Research Intern,Delhi,New Delhi,"Transport Allowance, Subsidized Meals",,On-site,3,10000,Agriculture Basics; Communication; Data Analysis,12-11-2025,Agro company promoting sustainable farming and crop science.,,,Paid,-9663853851,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00027,PharmaLife Pvt Ltd,,Pharmaceutical,Maintenance,Lab Assistant Intern,West Bengal,Darjeeling,Transport Allowance,,Hybrid,3,8000,Communication; Excel,20-11-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9236024342,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00028,InfraBuild India,,Infrastructure & Construction,Renewable Energy R&D,IT Security Intern,Tamil Nadu,Chennai,Transport Allowance,,Hybrid,6,3000,Writing; Excel,02-10-2025,Infrastructure and construction solutions across India.,,,Paid,-9618702861,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00029,AutoMotion Ltd,,Automotive,Maintenance,Lab Assistant Intern,Tamil Nadu,Chennai,Remote Work,,Hybrid,12,10000,Sales Skills; Networking; Writing,02-11-2025,Automotive giant specializing in vehicle design and maintenance.,,,Paid,-9238249508,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00030,TeleLink Pvt Ltd,,Telecom,Renewable Energy R&D,Field Intern,Uttar Pradesh,Varanasi,"Transport Allowance, Subsidized Meals",,Remote,12,8000,Excel; Research Skills; Chemistry; Editing,06-10-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9797212209,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00031,PharmaLife Pvt Ltd,,Pharmaceutical,Content Creation,IT Security Intern,Delhi,New Delhi,"Transport Allowance, Subsidized Meals",,Hybrid,3,0,Excel; Sales Skills; Writing,15-10-2025,Research-driven pharmaceutical and life sciences company.,,,Unpaid,-9128486986,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00032,AeroDefence Systems,,Aviation & Defence,Maintenance,Sales Intern,West Bengal,Kolkata,"Stipend, Meals",,On-site,6,5000,Communication; Editing; Agriculture Basics; Python,30-10-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9828370504,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00033,TeleLink Pvt Ltd,,Telecom,Agriculture,Field Intern,Karnataka,Bengaluru,Stipend,,Remote,6,0,Electrical Maintenance; Sales Skills,12-11-2025,Telecom services leader in rural and urban connectivity.,,,Unpaid,-9025976647,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00034,FMCG Fresh,,FMCG,Marketing,Research Intern,West Bengal,Kolkata,Stipend,,Hybrid,3,8000,Excel; Networking; Python,22-10-2025,Fast-moving consumer goods company with global outreach.,,,Paid,-9373072186,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00035,ChemEx Pvt Ltd,,Chemical,Pharma Research,Research Intern,Rajasthan,Jaipur,Stipend,,Hybrid,3,0,Agriculture Basics; Python; Networking,25-10-2025,Chemical manufacturing and research for diverse industries.,,,Unpaid,-9301002998,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00036,FMCG Fresh,,FMCG,Finance & Accounting,Field Intern,Maharashtra,Mumbai,"Transport Allowance, Subsidized Meals",,On-site,12,8000,Communication; Research Skills; Chemistry,04-10-2025,Fast-moving consumer goods company with global outreach.,,,Paid,-9082770479,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00037,HealthCare First,,Healthcare,Consulting,Finance Intern,Punjab,Ludhiana,Subsidized Meals,,On-site,12,3000,Agriculture Basics; Editing; Networking; Communication,01-11-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9075174646,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00038,RetailMart Ltd,,Retail & Consumer Durables,Pharma Research,Research Intern,Karnataka,Bengaluru,"Transport Allowance, Subsidized Meals",,Hybrid,3,8000,Communication; Editing; Python; Excel,16-10-2025,Retail and consumer durables with nationwide presence.,,,Paid,-9468864035,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00039,PharmaLife Pvt Ltd,,Pharmaceutical,Renewable Energy R&D,Field Intern,Tamil Nadu,Coimbatore,Transport Allowance,,Hybrid,12,3000,Networking; Electrical Maintenance,08-10-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9182583424,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00040,TravelEase Pvt Ltd,,Travel & Hospitality,Cyber Security,Consulting Intern,Karnataka,Mysuru,"Stipend, Meals",,Hybrid,6,10000,Communication; Writing; Python,11-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9101792306,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00041,TravelEase Pvt Ltd,,Travel & Hospitality,Consulting,Sales Intern,West Bengal,Darjeeling,Stipend,,On-site,12,10000,Communication; Excel; Python; Electrical Maintenance,19-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9180502396,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00042,ConsultPro India,,Consulting Services,Data Science,Sales Intern,Maharashtra,Nagpur,Remote Work,,Hybrid,6,3000,Excel; Chemistry; Networking; Data Analysis,01-11-2025,Consulting firm offering business and strategy services.,,,Paid,-9052629282,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00043,TravelEase Pvt Ltd,,Travel & Hospitality,Content Creation,Sales Intern,West Bengal,Darjeeling,"Transport Allowance, Subsidized Meals",,On-site,12,8000,Agriculture Basics; Electrical Maintenance; Editing; Python,03-11-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9003289202,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00044,InfraBuild India,,Infrastructure & Construction,Pharma Research,Maintenance Electrical Intern,Rajasthan,Udaipur,Subsidized Meals,,On-site,6,10000,Writing; Electrical Maintenance; Excel,11-10-2025,Infrastructure and construction solutions across India.,,,Paid,-9757099793,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00045,PharmaLife Pvt Ltd,,Pharmaceutical,Renewable Energy R&D,Maintenance Electrical Intern,Punjab,Amritsar,"Stipend, Meals",,Hybrid,6,3000,Sales Skills; Chemistry,12-11-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9342974356,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00046,TeleLink Pvt Ltd,,Telecom,Content Creation,Research Intern,West Bengal,Kolkata,"Stipend, Meals",,Hybrid,12,8000,Writing; Electrical Maintenance; Editing,19-10-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9747222490,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00047,AutoMotion Ltd,,Automotive,Maintenance,IT Security Intern,Rajasthan,Udaipur,"Transport Allowance, Subsidized Meals",,Remote,3,3000,Electrical Maintenance; Research Skills,15-11-2025,Automotive giant specializing in vehicle design and maintenance.,,,Paid,-9060363617,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00048,AgroAllied Co,,Agriculture & Allied,Agriculture,Research Intern,Rajasthan,Udaipur,Subsidized Meals,,Remote,12,8000,Chemistry; Electrical Maintenance; Data Analysis; Writing,15-11-2025,Agro company promoting sustainable farming and crop science.,,,Paid,-9843662564,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00049,MetalMines Ltd,,Metals & Mining,Marketing,Research Intern,Punjab,Ludhiana,Subsidized Meals,,On-site,3,3000,Agriculture Basics; Electrical Maintenance,19-10-2025,Mining and metals extraction with sustainable methods.,,,Paid,-9458940018,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00050,TeleLink Pvt Ltd,,Telecom,Pharma Research,Sales Intern,Karnataka,Mysuru,Stipend,,On-site,6,5000,Python; Electrical Maintenance; Writing; Communication,17-11-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9312445926,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00051,HealthCare First,,Healthcare,Cyber Security,Sales Intern,Tamil Nadu,Chennai,Transport Allowance,,Hybrid,3,8000,Electrical Maintenance; Editing,12-11-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9312239689,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00052,Green Energy Corp,,"Oil, Gas & Energy",Finance & Accounting,Data Analyst Intern,Uttar Pradesh,Varanasi,"Transport Allowance, Subsidized Meals",,On-site,6,8000,Chemistry; Editing,11-10-2025,Innovative company in renewable and sustainable energy.,,,Paid,-9451836521,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00053,MetalMines Ltd,,Metals & Mining,Agriculture,Field Intern,Gujarat,Surat,"Stipend, Meals",,On-site,12,3000,Chemistry; Sales Skills; Python,27-10-2025,Mining and metals extraction with sustainable methods.,,,Paid,-9917412415,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00054,TravelEase Pvt Ltd,,Travel & Hospitality,Consulting,Data Analyst Intern,Rajasthan,Udaipur,"Transport Allowance, Subsidized Meals",,On-site,6,8000,Networking; Communication; Chemistry; Data Analysis,14-11-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9460494200,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00055,InfoTech Solutions Pvt Ltd,,IT & Software Development,Content Creation,Marketing Intern,Maharashtra,Nagpur,Subsidized Meals,,Remote,12,10000,Sales Skills; Agriculture Basics,07-10-2025,Leading IT services and cybersecurity solutions provider.,,,Paid,-9688926485,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00056,PharmaLife Pvt Ltd,,Pharmaceutical,Marketing,Maintenance Electrical Intern,Maharashtra,Mumbai,Stipend,,Hybrid,3,3000,Editing; Research Skills,17-11-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9908100805,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00057,AeroDefence Systems,,Aviation & Defence,Agriculture,Consulting Intern,Gujarat,Surat,"Stipend, Meals",,On-site,3,3000,Editing; Chemistry; Data Analysis; Agriculture Basics,03-11-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9961342717,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00058,FMCG Fresh,,FMCG,Finance & Accounting,Research Intern,Delhi,New Delhi,Transport Allowance,,Hybrid,3,5000,Communication; Electrical Maintenance; Agriculture Basics,18-10-2025,Fast-moving consumer goods company with global outreach.,,,Paid,-9182995763,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00059,ConsultPro India,,Consulting Services,Content Creation,Research Intern,Tamil Nadu,Chennai,Remote Work,,Remote,3,8000,Agriculture Basics; Research Skills; Editing; Electrical Maintenance,10-10-2025,Consulting firm offering business and strategy services.,,,Paid,-9241011326,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00060,InfraBuild India,,Infrastructure & Construction,Consulting,Sales Intern,Uttar Pradesh,Lucknow,Remote Work,,On-site,6,0,Writing; Excel; Python; Communication,05-11-2025,Infrastructure and construction solutions across India.,,,Unpaid,-9571269021,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
